,500.0,2000.0,10000.0,25000.0,period,site
0,72.78995584420043,81.29885821650393,91.17327084084276,96.79449112840084,baseline,RandomSite0
1,89.0,266.0,953.0,1969.0,future,RandomSite0
2,75.3229010233584,84.22324118997825,94.55190961943975,100.43172472621802,baseline,RandomSite1
3,170.0,594.0,2538.0,5804.0,future,RandomSite1
4,53.4906479268991,55.44622622739733,57.12237947979181,57.85855716381741,baseline,RandomSite2
5,19.0,26.0,35.0,40.0,future,RandomSite2
6,52.34660122682892,53.66977671597728,54.72150922354555,55.15402367752283,baseline,RandomSite3
7,7.0,9.0,10.0,11.0,future,RandomSite3
8,56.25467918483658,57.35330152595912,58.07773763743074,58.330305895033234,baseline,RandomSite4
9,17.0,19.0,21.0,21.0,future,RandomSite4
10,82.3047081969487,92.05512368210324,103.37028767699752,109.81168645431518,baseline,RandomSite5
11,27500.0,27500.0,27500.0,27500.0,future,RandomSite5
12,31.234813039380597,31.95910234718967,32.474550932542954,32.66686020772185,baseline,RandomSite6
13,17.0,19.0,21.0,22.0,future,RandomSite6
14,48.50932748321652,50.70104125796183,52.58181044805525,53.4087055401332,baseline,RandomSite7
15,16.0,20.0,26.0,29.0,future,RandomSite7
16,58.12585715751608,65.84300188886748,74.79859545721594,79.89675837269321,baseline,RandomSite8
17,111.0,346.0,1295.0,2746.0,future,RandomSite8
18,58.04903701778248,65.36195323351467,73.84844761807882,78.67956580400269,baseline,RandomSite9
19,125.0,405.0,1581.0,3435.0,future,RandomSite9
20,62.45516997360986,71.2664562707615,81.49177944904397,87.31276306430465,baseline,RandomSite10
21,127.0,416.0,1653.0,3626.0,future,RandomSite10
