,model,time_period,site_name,min,mean,max,sd
0,CRCM_ccsm,current,RandomSite0,0.0,1.9766615967019991,52.607349464233266,4.240154148303695
1,CRCM_cgcm3,current,RandomSite0,0.0,2.2752678863643108,64.0201318426989,4.84034072055461
2,HRM3_gfdl,current,RandomSite0,0.0,2.3823529883726304,191.13109167083167,6.518388352081505
3,HRM3_hadcm3,current,RandomSite0,-1.6782081863930514e-08,2.5149343969953692,175.05188880972034,7.239338734041368
4,RCM3_cgcm3,current,RandomSite0,-1.6360309203392557e-17,2.7577256633794307,129.8350008262787,7.6331490204783
5,RCM3_gfdl,current,RandomSite0,-2.7495484001210367e-17,2.831840064550661,105.82205465557308,7.021366378512976
6,CRCM_ccsm,future,RandomSite0,0.0,2.032561997921805,98.95552780944854,4.711413253435245
7,CRCM_cgcm3,future,RandomSite0,0.0,2.375560066954999,83.98923271474814,5.331216485817568
8,HRM3_gfdl,future,RandomSite0,0.0,2.5463928066302453,102.31706290212514,6.7692363613890105
9,HRM3_hadcm3,future,RandomSite0,-1.491083007797633e-08,2.71260398579155,165.35772118564358,8.181978383084305
10,RCM3_cgcm3,future,RandomSite0,-1.8027904771618853e-17,2.9346009018780936,177.6895158689058,8.663706935795208
11,RCM3_gfdl,future,RandomSite0,-1.7112712033500695e-17,2.995118963660872,130.60726689873263,7.309535005797467
12,CRCM_ccsm,current,RandomSite1,0.0,2.012853563942684,67.68477336881915,4.324854825317616
13,CRCM_cgcm3,current,RandomSite1,0.0,2.3445149729832546,61.78017529891804,4.911634416476149
14,HRM3_gfdl,current,RandomSite1,0.0,2.6302479431588797,131.4500328968279,6.7716987281257826
15,HRM3_hadcm3,current,RandomSite1,-1.043416872869588e-08,2.7638172743680305,124.78978529429017,7.517424074313185
16,RCM3_cgcm3,current,RandomSite1,-2.3608396298070517e-17,2.736683938608254,121.3762237134523,7.134774207559299
17,RCM3_gfdl,current,RandomSite1,-2.1980505119457524e-17,2.7547430765357834,116.68990940314785,6.7181942927110425
18,CRCM_ccsm,future,RandomSite1,0.0,2.1219541582318078,68.80741758686781,4.843426307486654
19,CRCM_cgcm3,future,RandomSite1,0.0,2.470770122014127,79.19681995778092,5.458966856043819
20,HRM3_gfdl,future,RandomSite1,0.0,2.68215451229834,120.28745929417256,7.021819192875621
21,HRM3_hadcm3,future,RandomSite1,-1.0262365152005452e-08,2.9785098276300883,205.27414809912443,8.59751750903711
22,RCM3_cgcm3,future,RandomSite1,-2.6186221860758425e-17,3.014191708643189,173.57612489604438,8.550665978543194
23,RCM3_gfdl,future,RandomSite1,-2.420396586431304e-17,3.0062128083074686,195.59050131013578,7.571847748226714
24,CRCM_ccsm,current,RandomSite2,0.0,2.108313309907296,57.05016528575194,4.273055383691874
25,CRCM_cgcm3,current,RandomSite2,0.0,2.361314133151226,49.05867231091179,4.717900457784134
26,HRM3_gfdl,current,RandomSite2,0.0,2.352902714279022,103.31330393971996,6.191382643461027
27,HRM3_hadcm3,current,RandomSite2,-5.669974004925002e-09,2.246669688391263,157.68597812463554,7.083991093824148
28,RCM3_cgcm3,current,RandomSite2,-2.2452990876567697e-17,2.8888547299295793,139.43076487435323,6.874124013552308
29,RCM3_gfdl,current,RandomSite2,-3.6337713290481356e-17,3.067674533959988,128.12399182585068,6.690256735615395
30,CRCM_ccsm,future,RandomSite2,0.0,2.177646462979151,67.3204885359155,4.537828615283865
31,CRCM_cgcm3,future,RandomSite2,0.0,2.452223992401753,74.11436615511775,5.25246982350752
32,HRM3_gfdl,future,RandomSite2,0.0,2.4609725290124302,193.5900380334033,7.034166127619746
33,HRM3_hadcm3,future,RandomSite2,-1.0883688164576265e-08,2.6763747528421624,216.8797005317174,8.185733132917429
34,RCM3_cgcm3,future,RandomSite2,-2.3600455023342932e-17,3.1087115975619657,176.43594597011543,7.872396111178016
35,RCM3_gfdl,future,RandomSite2,-2.6792711283917757e-17,3.1614798087401113,124.50727614841526,7.01095795780993
36,CRCM_ccsm,current,RandomSite3,0.0,2.297218306964205,64.82851892142207,4.6512366624414785
37,CRCM_cgcm3,current,RandomSite3,0.0,2.637943475611827,55.81758134139818,5.254805191832528
38,HRM3_gfdl,current,RandomSite3,0.0,2.5549304779913413,139.89799222326837,6.5628439116619655
39,HRM3_hadcm3,current,RandomSite3,-9.152716280193263e-09,2.6951212896030654,194.27025121367478,7.856908692533275
40,RCM3_cgcm3,current,RandomSite3,-3.135874795471482e-17,2.9590465973936833,141.85673355905237,7.313572760260468
41,RCM3_gfdl,current,RandomSite3,-3.164065126745388e-17,2.8476353985864304,109.29706624592654,6.551611921676077
42,CRCM_ccsm,future,RandomSite3,0.0,2.354190130261159,64.37161699868739,4.928098574324557
43,CRCM_cgcm3,future,RandomSite3,0.0,2.711017524621377,90.11209137970582,5.782167221249961
44,HRM3_gfdl,future,RandomSite3,0.0,2.540255788927585,120.60479433122993,7.010528231259683
45,HRM3_hadcm3,future,RandomSite3,-1.1847417254241165e-08,2.964171871485772,140.61233428947162,8.409985389451865
46,RCM3_cgcm3,future,RandomSite3,-2.2838126165985855e-17,3.0791166071812057,183.5844854980678,7.94909360974337
47,RCM3_gfdl,future,RandomSite3,-1.6748422314616912e-17,3.005517955272554,105.04064381420905,6.93086942504005
48,CRCM_ccsm,current,RandomSite4,0.0,0.9604503657353026,87.62734921183437,3.9513160477611957
49,CRCM_cgcm3,current,RandomSite4,0.0,0.7811735255149919,71.62559550706646,2.8536714882849648
50,HRM3_gfdl,current,RandomSite4,0.0,2.5455711157769145,219.90276613505557,11.060910673725516
51,HRM3_hadcm3,current,RandomSite4,-6.404856783182218e-08,2.1677370033843646,188.26646148227155,8.54496258213783
52,RCM3_cgcm3,current,RandomSite4,-2.904793580926038e-17,1.1069881340606023,100.85894482380127,4.864544498024325
53,RCM3_gfdl,current,RandomSite4,-3.279618094395644e-17,1.967708759614513,211.0570860793814,8.46072642428439
54,CRCM_ccsm,future,RandomSite4,0.0,0.8106891841590103,95.35023455828195,3.6747382137747007
55,CRCM_cgcm3,future,RandomSite4,0.0,0.760021683793633,63.47896576335189,3.1460453233035697
56,HRM3_gfdl,future,RandomSite4,0.0,2.360544603421257,328.01506170944776,10.960575591026553
57,HRM3_hadcm3,future,RandomSite4,-8.176414904634125e-08,2.9291452343641233,269.4486925145611,12.072324633077002
58,RCM3_cgcm3,future,RandomSite4,-3.5607147493696924e-17,1.0440129831798606,83.36371782934293,5.134362879497632
59,RCM3_gfdl,future,RandomSite4,-6.413148197473603e-17,1.5874845758373775,132.52474669134244,6.824143595983113
60,CRCM_ccsm,current,RandomSite5,0.0,2.0247688026843256,65.50100195759114,4.768169583629698
61,CRCM_cgcm3,current,RandomSite5,0.0,2.3790276563955146,73.19711920267764,5.404268800396717
62,HRM3_gfdl,current,RandomSite5,0.0,3.1294928259811723,104.66747508316986,7.82701416086529
63,HRM3_hadcm3,current,RandomSite5,-3.0930653027852256e-08,2.9709052299340195,217.6514584303547,8.592117949291527
64,RCM3_cgcm3,current,RandomSite5,-1.852619926198258e-17,2.6833265109040747,156.53005067943013,7.836286743546316
